date,site,s2_secchi,s2_rrs,s2_kdmin,types2,l8_secchi,l8_rrs,l8_kdmin
9/27/21,1,1.941031614,0.014409779,0.467932142,S2B,1.474482294,0.017162223,0.609402021
9/27/21,2,1.879411083,0.014376445,0.483126373,S2B,1.469362158,0.016875112,0.612660339
9/27/21,3,2.281665389,0.012822223,0.40061182,S2B,1.681378175,0.01515289,0.538332791
9/27/21,4,3.556933549,0.008791556,0.262272801,S2B,2.26497637,0.01063489,0.406240437
9/27/21,5,2.401744335,0.013382001,0.379854415,S2B,1.644408412,0.016320445,0.547998435
9/27/21,6,2.344752884,0.012451334,0.389840443,S2B,1.724988148,0.013943779,0.526872539
9/27/21,7,2.598143016,0.012035779,0.352768107,S2B,2.067201362,0.012701112,0.442745946
9/27/21,8,2.280838023,0.013560223,0.400034516,S2B,1.627880013,0.015430001,0.555467036
9/27/21,9,1.544289638,0.012988668,0.590606647,S2B,1.175167265,0.016677556,0.765982779
9/27/21,10,1.490660336,0.01372689,0.610372898,S2B,1.161019131,0.01773489,0.772979142
9/27/21,11,2.481936648,0.012801334,0.367638937,S2B,1.768596148,0.015035334,0.511905814
9/27/21,12,2.63852608,0.01205289,0.347640085,S2B,1.949822336,0.013847556,0.466708853
9/27/21,13,1.924755709,0.013682223,0.473293175,S2B,1.387017711,0.015769779,0.651185245
9/27/21,14,1.755181765,0.013625112,0.519154841,S2B,1.379495413,0.016600667,0.65350217
9/27/21,15,2.313192932,0.012505334,0.395387221,S2B,1.629806915,0.014784445,0.556046467
9/27/21,16,2.810373339,0.012549556,0.325680778,S2B,1.604043978,0.016664445,0.561644079
9/27/21,17,1.802522234,0.013912445,0.504760679,S2B,1.328962308,0.017686001,0.675035818
9/27/21,18,1.732550159,0.014379779,0.524629211,S2B,1.282373634,0.017549779,0.699693887
9/27/21,19,2.47859954,0.012516445,0.369112133,S2B,1.823361357,0.014660445,0.497829804
9/27/21,20,1.889354323,0.013547112,0.482084669,S2B,1.288123081,0.016583112,0.699003822
9/27/21,21,2.351175477,0.013013779,0.388247005,S2B,1.673923345,0.015275779,0.54037993
9/27/21,22,1.630103899,0.015342223,0.555279601,S2B,1.172220505,0.018480223,0.763320266
9/27/21,23,1.91576702,0.013814001,0.474888956,S2B,1.46580701,0.016089779,0.615445975
9/27/21,24,1.875710797,0.013399779,0.485716645,S2B,1.324613367,0.017098667,0.678470706
9/27/21,25,2.295586203,0.012795556,0.398784584,S2B,1.41791011,0.017542445,0.633044562
9/27/21,26,3.577904656,0.014557112,0.258329993,S2B,2.36928352,0.01676889,0.379854907
9/27/21,27,2.158380878,0.013144223,0.422530665,S2B,1.469498767,0.017310001,0.611181268
9/27/21,28,2.465457949,0.012261334,0.371137003,S2B,1.627961352,0.01568689,0.554873029
9/27/21,29,1.821968338,0.013143779,0.500357791,S2B,1.351660398,0.017199334,0.665026487
9/27/21,30,2.0636495,0.012779556,0.443532442,S2B,1.368545372,0.016262445,0.659171464
9/27/21,31,2.146281231,0.01272889,0.426023858,S2B,1.458756913,0.016034445,0.618459716
9/27/21,32,1.389842781,0.014560001,0.652783523,S2B,1.072995477,0.018444223,0.833814253
9/27/21,33,3.958394435,0.013079556,0.232686586,S2B,2.467027018,0.01567489,0.366418714
9/27/21,34,6.098554031,0.011393334,0.158264061,S2B,3.944274955,0.013005334,0.231379605
9/27/21,35,3.216305555,0.008759429,0.34123572,S2B,1.804608976,0.015984001,0.500087983
9/27/21,36,1.741533804,0.011728668,0.525864775,S2B,1.388331873,0.011851334,0.652947037
9/27/21,37,2.596157037,0.011245334,0.354561537,S2B,1.816144984,0.01385289,0.50074608
9/27/21,38,2.345906261,0.011804001,0.391072552,S2B,1.736832805,0.013903779,0.524079311
9/27/21,39,2.41206044,0.011724001,0.380660568,S2B,1.601893208,0.015432445,0.564409908
9/27/21,40,2.565502983,0.012825779,0.356425038,S2B,1.691993159,0.015802001,0.533719513
9/27/21,41,2.275384101,0.013207556,0.401238128,S2B,1.564464285,0.016280667,0.576164419
9/27/21,42,3.770313781,0.013614223,0.242799105,S2B,2.160238775,0.016334001,0.417277082
9/27/21,43,2.923781504,0.014376001,0.310837133,S2B,1.935482527,0.016488667,0.465614714
9/27/21,44,2.628021515,0.014100668,0.348164753,S2B,1.745805501,0.016666445,0.515766003
9/27/21,45,2.40288119,0.01142289,0.382169746,S2B,1.69729282,0.014148223,0.535232277
9/27/21,46,2.192919014,0.012227334,0.417533629,S2B,1.751253194,0.015380445,0.516539369
9/27/21,47,1.511128762,0.014906668,0.601308042,S2B,1.39555369,0.016684445,0.648947439
9/27/21,48,1.673190013,0.012328223,0.546458491,S2B,1.453554147,0.013195715,0.633441003
9/27/21,49,1.628554992,0.015727334,0.554586433,S2B,1.21165107,0.019376223,0.735531403
9/27/21,50,1.378843215,0.013529556,0.660362765,S2B,1.129051616,0.01677089,0.79695006
9/27/21,51,2.551552423,0.011400445,0.361012247,S2B,1.701927891,0.014474223,0.534796389
9/27/21,52,2.161281423,0.014055334,0.420941475,S2B,1.623027899,0.017053334,0.554453335
9/27/21,53,1.665787955,0.013695556,0.546591523,S2B,1.24160418,0.016722445,0.724823933
9/27/21,54,2.111105385,0.013667334,0.431749438,S2B,1.510043403,0.01705289,0.595352725
9/27/21,55,2.454273457,0.012176001,0.37297946,S2B,1.7475577,0.014799334,0.51851888
9/27/21,56,2.773152873,0.011088445,0.331512768,S2B,1.93090794,0.013288445,0.472959868
9/27/21,57,1.748544465,0.013237779,0.521283526,S2B,1.3128421,0.016453334,0.686306007
9/27/21,58,1.53823122,0.012324445,0.599540712,S2B,1.156390457,0.016509667,0.78044547
9/27/21,59,2.202514702,0.012382445,0.415071382,S2B,1.6052885,0.015013112,0.564060175
9/27/21,60,2.511752113,0.012702445,0.363702993,S2B,1.800413015,0.015446223,0.502487809
9/27/21,61,2.298296669,0.01333689,0.397271859,S2B,1.535374847,0.016276667,0.587151212
9/27/21,62,1.871276438,0.013792445,0.485269984,S2B,1.46574835,0.017035779,0.613756494
9/27/21,63,2.621980808,0.012978668,0.348427859,S2B,1.883515254,0.014430223,0.482383175
9/27/21,64,2.115449743,0.01384689,0.430158039,S2B,1.514069689,0.017137556,0.594539234
