site,days,,date,sat,insitu,type
5,6,8/15/17,2017.623546,1.820581891,1.05,L8
17,6,8/15/17,2017.623546,1.532333754,1.15,L8
2,2,7/22/20,2020.56,1.1391,0.38,L8
6,2,7/22/20,2020.56,1.7048,0.55,L8
12,2,7/22/20,2020.56,2.8413,0.78,L8
13,2,7/22/20,2020.56,1.3443,0.45,L8
17,2,7/22/20,2020.56,1.9261,0.6,L8
5,2,5/7/20,2020.35044,1.44255755,0.67,S2
6,1,5/7/20,2020.35044,1.11585952,0.7,S2
12,1,5/7/20,2020.35044,1.47011953,0.91,S2
16,1,5/7/20,2020.35044,0.8714686,0.57,S2
17,2,5/7/20,2020.35044,1.57108283,0.58,S2
6,2,4/28/18,2018.324435,2.48709424,1.05,S2
6,2,4/28/18,2018.324435,1.702570968,1.05,L8
2,5,8/12/16,2016.61602,1.15846297,0.58,L8
5,5,8/12/16,2016.61602,2.52663403,0.75,L8
6,5,8/12/16,2016.61602,2.59995532,1.52,L8
12,5,8/12/16,2016.61602,2.30556277,1.09,L8
13,5,8/12/16,2016.61602,1.54461966,0.94,L8
16,5,8/12/16,2016.61602,1.33006885,0.97,L8
17,5,8/12/16,2016.61602,3.69623495,1.6,L8
2,3,10/15/16,2016.79124,0.87518452,0.7,L8
5,3,10/15/16,2016.79124,1.36255567,0.9,L8
6,3,10/15/16,2016.79124,1.01272731,0.9,L8
12,3,10/15/16,2016.79124,1.21502814,0.85,L8
13,3,10/15/16,2016.79124,0.55729426,0.4,L8
16,3,10/15/16,2016.79124,1.3777129,0.95,L8
17,3,10/15/16,2016.79124,0.97223572,0.8,L8
5,2,5/3/20,2020.33949,1.81836402,0.67,L8
6,3,5/3/20,2020.33949,1.49813418,0.7,L8
12,3,5/3/20,2020.33949,1.39412201,0.91,L8
13,3,5/3/20,2020.33949,1.3759462,0.53,L8
16,3,5/3/20,2020.33949,1.24362543,0.57,L8
2,5,1/28/20,2020.07666,1.78982936,0.7,L8
5,5,1/28/20,2020.07666,1.26256213,0.7,L8
6,5,1/28/20,2020.07666,1.46576176,0.6,L8
12,5,1/28/20,2020.07666,3.05939738,0.7,L8
16,5,1/28/20,2020.07666,1.46591647,0.6,L8
17,5,1/28/20,2020.07666,1.20278678,0.7,L8
6,2,5/3/19,2019.33744,1.947105166,0.85,S2
17,2,5/3/19,2019.33744,2.36320397,0.95,S2
