decimaldate,date,yearday,site,satsecchi
2020.339493,5/3/20,124,12,1.39412201
2020.339493,5/3/20,124,13,1.3759462
2020.339493,5/3/20,124,14,NaN
2020.339493,5/3/20,124,15,NaN
2020.339493,5/3/20,124,16,1.243625432
2020.339493,5/3/20,124,17,NaN
2020.427105,6/4/20,156,1,NaN
2020.427105,6/4/20,156,2,NaN
2020.427105,6/4/20,156,3,NaN
2020.427105,6/4/20,156,4,NaN
2020.427105,6/4/20,156,5,1.28328317
2020.427105,6/4/20,156,6,NaN
2020.427105,6/4/20,156,7,NaN
2020.427105,6/4/20,156,8,NaN
2020.427105,6/4/20,156,9,NaN
2020.427105,6/4/20,156,10,NaN
2020.427105,6/4/20,156,11,NaN
2020.427105,6/4/20,156,12,1.22325382
2020.427105,6/4/20,156,13,NaN
2020.427105,6/4/20,156,14,NaN
2020.427105,6/4/20,156,15,NaN
2020.427105,6/4/20,156,16,1.430370161
2020.427105,6/4/20,156,17,1.258289517
2020.514716,7/6/20,188,1,NaN
2020.514716,7/6/20,188,2,NaN
2020.514716,7/6/20,188,3,NaN
2020.514716,7/6/20,188,4,NaN
2020.514716,7/6/20,188,5,NaN
2020.514716,7/6/20,188,6,NaN
2020.514716,7/6/20,188,7,NaN
2020.514716,7/6/20,188,8,NaN
2020.514716,7/6/20,188,9,NaN
2020.514716,7/6/20,188,10,NaN
2020.514716,7/6/20,188,11,NaN
2020.514716,7/6/20,188,12,NaN
2020.514716,7/6/20,188,13,NaN
2020.514716,7/6/20,188,14,NaN
2020.514716,7/6/20,188,15,NaN
2020.514716,7/6/20,188,16,NaN
2020.514716,7/6/20,188,17,NaN
2020.558522,7/22/20,204,1,NaN
2020.558522,7/22/20,204,2,1.136876134
2020.558522,7/22/20,204,3,NaN
2020.558522,7/22/20,204,4,NaN
2020.558522,7/22/20,204,5,NaN
2020.558522,7/22/20,204,6,1.706041899
2020.558522,7/22/20,204,7,NaN
2020.558522,7/22/20,204,8,NaN
2020.558522,7/22/20,204,9,NaN
2020.558522,7/22/20,204,10,NaN
2020.558522,7/22/20,204,11,NaN
2020.558522,7/22/20,204,12,2.836558598
2020.558522,7/22/20,204,13,1.343189688
2020.558522,7/22/20,204,14,NaN
2020.558522,7/22/20,204,15,NaN
2020.558522,7/22/20,204,16,NaN
2020.558522,7/22/20,204,17,1.94062371
