decimaldate,date,yearday,site,satsecchi
2014.951403,12/13/14,347,17,0.884245128
2015.13,2/15/15,46,1,NaN
2015.13,2/15/15,46,2,0.67527492
2015.13,2/15/15,46,3,NaN
2015.13,2/15/15,46,4,NaN
2015.13,2/15/15,46,5,NaN
2015.13,2/15/15,46,6,NaN
2015.13,2/15/15,46,7,NaN
2015.13,2/15/15,46,8,NaN
2015.13,2/15/15,46,9,NaN
2015.13,2/15/15,46,10,NaN
2015.13,2/15/15,46,11,NaN
2015.13,2/15/15,46,12,0.88966335
2015.13,2/15/15,46,13,0.99190004
2015.13,2/15/15,46,14,NaN
2015.13,2/15/15,46,15,NaN
2015.13,2/15/15,46,16,0.64738012
2015.13,2/15/15,46,17,0.75331113
2015.389459,5/22/15,142,1,NaN
2015.389459,5/22/15,142,2,NaN
2015.389459,5/22/15,142,3,NaN
2015.389459,5/22/15,142,4,NaN
2015.389459,5/22/15,142,5,NaN
2015.389459,5/22/15,142,6,NaN
2015.389459,5/22/15,142,7,NaN
2015.389459,5/22/15,142,8,NaN
2015.389459,5/22/15,142,9,NaN
2015.389459,5/22/15,142,10,NaN
2015.389459,5/22/15,142,11,NaN
2015.389459,5/22/15,142,12,NaN
2015.389459,5/22/15,142,13,NaN
2015.389459,5/22/15,142,14,NaN
2015.389459,5/22/15,142,15,NaN
2015.389459,5/22/15,142,16,NaN
2015.389459,5/22/15,142,17,NaN
2015.47707,6/23/15,174,2,NaN
2015.47707,6/23/15,174,5,1.686046792
2015.47707,6/23/15,174,6,1.324311407
2015.47707,6/23/15,174,12,NaN
2015.47707,6/23/15,174,13,NaN
2015.47707,6/23/15,174,16,1.105765139
2015.47707,6/23/15,174,17,NaN
2015.564682,7/25/15,206,2,1.198332924
2015.564682,7/25/15,206,5,1.669946651
2015.564682,7/25/15,206,6,1.983023866
2015.564682,7/25/15,206,12,2.506051161
2015.564682,7/25/15,206,13,1.162127965
2015.564682,7/25/15,206,16,1.77085151
2015.564682,7/25/15,206,17,1.692981398
2015.827515,10/29/15,302,2,1.401874463
2015.827515,10/29/15,302,5,0.928431217
2015.827515,10/29/15,302,6,1.070627643
2015.827515,10/29/15,302,12,0.889965018
2015.827515,10/29/15,302,13,1.144378561
2015.827515,10/29/15,302,16,1.079759843
2015.827515,10/29/15,302,17,0.983444726
2015.871321,11/14/15,318,2,1.673948192
2015.871321,11/14/15,318,5,2.169319623
2015.871321,11/14/15,318,6,1.766579381
2015.871321,11/14/15,318,12,1.835297962
2015.871321,11/14/15,318,13,1.954467525
2015.871321,11/14/15,318,16,1.92611903
2015.871321,11/14/15,318,17,2.21728966
2015.958932,12/16/15,350,2,1.914188618
2015.958932,12/16/15,350,5,1.378878836
2015.958932,12/16/15,350,6,1.38954087
2015.958932,12/16/15,350,12,1.321858148
2015.958932,12/16/15,350,13,1.386762227
2015.958932,12/16/15,350,16,1.211027165
2015.958932,12/16/15,350,17,1.122567095
2016.09,2/2/16,33,1,NaN
2016.09,2/2/16,33,2,1.22909151
2016.09,2/2/16,33,3,NaN
2016.09,2/2/16,33,4,NaN
2016.09,2/2/16,33,5,1.56295177
2016.09,2/2/16,33,6,1.98615916
2016.09,2/2/16,33,7,NaN
2016.09,2/2/16,33,8,NaN
2016.09,2/2/16,33,9,NaN
2016.09,2/2/16,33,10,NaN
2016.09,2/2/16,33,11,NaN
2016.09,2/2/16,33,12,1.23997715
