2.46844532,0.75
1.89148697,1.52
2.3540316,1.09
1.83696906,0.97
2.94980104,1.6
1.59039767,0.55
1.24140118,0.8
1.27557504,0.9
1.41026228,0.45
3.28025571,1.25
2.48709424,1.05
2.51353032,1.15
2.12536062,0.7
1.27913874,0.45
2.14147507,0.73
1.28617943,0.45
2.00023269,0.8
2.42492576,0.95
1.68790641,0.9
1.5131221,0.4
1.06673999,0.7
1.35021378,0.6
1.29929072,0.7
1.03636022,0.6
1.43935382,0.7
1.44255755,0.67
1.11585952,0.7
1.47011953,0.91
0.8714686,0.57
1.57108283,0.58
1.947105166,0.85
2.36320397,0.95
